Amherst,CO,0
Amherst Junction,WI,311.6
Amherst,MA,1365.3
Amherst,NE,1127.3
Amherst,NH,320
Amherst,NY,0
Amherst,OH,1702.7
Amherst,SD,None
Amherst,TX,None
Amherst,VA,450
Amherst,WI,796.2
Amherstdale,WV,0
Amidon,ND,31.3
Amigo,WV,0
Amissville,VA,None
Amistad,NM,None
Amite,LA,0
Amity,AR,221
Amity,MO,317.6
Amity,OR,2690
Amity,PA,0
Amityville,NY,4534.8
Amlin,OH,None
Amma,WV,0
Ammon,ID,1903
Amo,IN,636.5
Amonate,VA,0
Amoret,MO,904.8
Amorita,OK,146
Amory,MS,910
Amsterdam,MO,424.6
Amsterdam,NY,3176.3
Amsterdam,OH,1596.9
Amston,CT,249
Anabel,MO,0
Anacoco,LA,0
Anaconda,MT,13
Anacortes,WA,1342.8
Anadarko,OK,940
Anaheim,CA,6600
Anahola,HI,514.8
Anahuac,TX,407.3
Anaktuvuk Pass,AK,66
Anamoose,ND,372.1
Anamosa,IA,2128.1
Anatone,WA,0
Anawalt,WV,396.5
Anchor,IL,0
Anchor Point,AK,None
Anchorage,AK,171.2
Ancona,IL,0
Ancram,NY,0
Ancramdale,NY,0
Andale,KS,1628.1
Andalusia,AL,459
Andalusia,IL,0
Ander,TX,0
Anderson,AK,None
Anderson,AL,216.9
Anderson,CA,1500
Anderson,IN,1356.8
Anderson Island,WA,0
Anderson,MO,951.9
Anderson,SC,1829
Anderson,TX,558
Andersonville,GA,254.6
Andersonville,TN,0
Andes,NY,0
Andover,CT,None
Andover,IA,542.1
Andover,IL,0
Andover,KS,1200
Andover,MA,1007.8
Andover,ME,14.3
Andover,MN,903.1
Andover,NH,22.6
Andover,NJ,417.3
Andover,NY,46
Andover,OH,835.8
Andover,SD,337
Andover,VA,0
Andreas,PA,0
Andrew,IA,1607.4
Andrews,IN,1767.7
Andrews,KY,0
Andrews,NC,1090
Andrews,SC,1394
Andrews,TX,None
Andy,WV,0
Aneta,ND,224.2
Aneth,UT,52.4
Angel Fire,NM,42
Angela,MT,0
Angelica,NY,39
Angels Camp,CA,1100
Angelus Oaks,CA,380
Angie,LA,0
Angier,NC,None
Angleton,TX,1673
Angola,IN,1358.4
Angola,LA,None
Angola,NY,1500
Angoon,AK,25.4
Angora,MN,0
Angora,NE,0
Anguilla,MS,868.8
Angwin,CA,630
Aniak,AK,None
Animas,NM,0
Anita,IA,571.8
Anita,PA,0
Aniwa,WI,124.4
Ankeny,IA,1554.1
Anmoore,WV,726.4
Ann Arbor,MI,4093.9
Anna,IL,1200
Anna Maria,FL,1503
Anna,OH,1521.4
Anna,TX,752
Annabella,UT,1083.5
Annada,MO,483.3
Annandale,MN,1083.2
Annandale,NJ,1167.6
Annandale,VA,5219
Annapolis,CA,0
Annapolis,IL,0
Annapolis Junction,MD,0
Annapolis,MD,2064.6
Annapolis,MO,958.3
Annawan,IL,0
Anniston,AL,506
Anniston,MO,594.9
Annona,TX,349.8
Annville,KY,None
Annville,PA,3000
Anoka,MN,2558.5
Anselmo,NE,537
Ansley,NE,747.5
Anson,ME,52.9
Anson,TX,1219.2
Ansonia,CT,3100
Ansonia,OH,1486.1
Ansonville,NC,429
Ansted,WV,845.8
Antelope,CA,6700
Antelope,MT,532.7
Antelope,OR,95.8
Anthem,AZ,None
Anthon,IA,795.8
Anthony,FL,0
Anthony,KS,690
Anthony,NM,2362.4
Anthony,TX,770
Antigo,WI,1259
Antimony,UT,12.1
Antioch,CA,3500
Antioch,IL,0
Antioch,TN,None
Antler,ND,158.8
Antlers,OK,931.1
Antoine,AR,312
Anton,CO,0
Anton,TX,None
Antonito,CO,2000
Antrim,NH,72
Antwerp,NY,17
Antwerp,OH,1305.3
Anvik,AK,None
Anza,CA,110
Apache Junction,AZ,944.36
Apache,OK,720
Apalachicola,FL,1162
Apalachin,NY,0
Apex,NC,2465.5
Apison,TN,170
Aplington,IA,1359
Apollo Beach,FL,1261.7
Apollo,PA,5395
Apopka,FL,1329.6
Appalachia,VA,797
Apple Creek,OH,2022.4
Apple Grove,WV,0
Apple River,IL,0
Apple Valley,CA,940
Applegate,CA,None
Applegate,MI,248
Appleton City,MO,980
Appleton,MN,716.8
Appleton,NY,0
Appleton,WA,0
Appleton,WI,2984.9
Appling,GA,0
Appomattox,VA,808.7
Aptos,CA,980
Apulia Station,NY,0
Aquasco,MD,0
Aquashicola,PA,0
Aquebogue,NY,0
Aquilla,TX,488.4
Arab,AL,620
Arabi,GA,93
Arabi,LA,0
Aragon,GA,944.5
Aragon,NM,11
Aransas Pass,TX,652
Arapaho,OK,1100
Arapahoe,CO,None
Arapahoe,NC,None
Arapahoe,NE,1036.4
Arapahoe,WY,52
Ararat,NC,0
Ararat,VA,None
Arbela,MO,455.6
Arboles,CO,43
Arbon,ID,0
Arbovale,WV,0
Arbuckle,CA,1700
Arbyrd,MO,509
Arcade,NY,89
Arcadia,CA,5100
Arcadia,FL,1892
Arcadia,IA,493.9
Arcadia,IN,2975
Arcadia,KS,700
Arcadia,LA,0
Arcadia,MI,33.3
Arcadia,MO,720
Arcadia,NE,545.6
Arcadia,OH,1017.2
Arcadia,OK,160
Arcadia,PA,0
Arcadia,SC,0
Arcadia,WI,1019.2
Arcanum,OH,1637.7
Arcata,CA,1600
Arch Cape,OR,0
Archbald,PA,0
Archbold,OH,881.5
Archer City,TX,837.3
Archer,FL,162.2
Archer,IA,1455.6
Archer,NE,0
Archibald,LA,0
Archie,MO,1008.6
Arco,ID,938.7
Arco,MN,117.2
Arcola,IL,0
Arcola,IN,0
Arcola,MO,183.3
Arcola,MS,1805
Arctic Village,AK,None
Ardara,PA,0
Arden,NC,429
Arden,NY,0
Ardenvoir,WA,0
Ardmore,AL,517
Ardmore,OK,487
Ardmore,PA,6322
Ardmore,TN,270
Ardoch,ND,257.7
Ardsley,NY,3400
Aredale,IA,74.7
Arena,WI,725.2
Arenas Valley,NM,0
Arenzville,IL,0
Argenta,IL,0
Argillite,KY,0
Argonia,KS,760
Argonne,WI,4.7
Argos,IN,1457.8
Argusville,ND,118.5
Argyle,FL,0
Argyle,GA,88.8
Argyle,IA,None
Argyle,MN,639
Argyle,MO,405
Argyle,NY,0
Argyle,TX,290
Argyle,WI,1382.3
Ariel,WA,None
Arimo,ID,806.8
Arion,IA,225
Aripeka,FL,0
Aristes,PA,836
Ariton,AL,150
Arivaca,AZ,None
Arizona City,AZ,0
Arjay,KY,0
Ark,VA,None
Arkadelphia,AR,1476
Arkansas City,AR,730
Arkansas City,KS,1300
Arkansaw,WI,None
Arkdale,WI,71
Arkoma,OK,550
Arkport,NY,1200
Arkville,NY,0
Arlee,MT,92.8
Arley,AL,103.6
Arlington,AL,0
Arlington,AZ,None
Arlington,CO,0
Arlington,GA,359
Arlington Heights,IL,4500
Arlington,IA,410
Arlington,IL,0
Arlington,IN,0
Arlington,KS,440
Arlington,KY,871
Arlington,MA,8239.2
Arlington,MN,1422.3
Arlington,NE,2071.7
Arlington,OH,1818.8
Arlington,OR,329.2
Arlington,SD,551.2
Arlington,TN,560
Arlington,TX,3810
Arlington,VA,9073
Arlington,VT,55
Arlington,WA,1937.9
Arlington,WI,810.9
Arma,KS,1300
Armada,MI,2276.3
Armagh,PA,2301.9
Armbrust,PA,0
Armington,IL,0
Arminto,WY,0
Armona,CA,2200
Armonk,NY,724
Armour,SD,743.6
Armstrong Creek,WI,8.4
Armstrong,IA,1052.3
Armstrong,IL,0
Armstrong,MO,346.3
Armstrong,TX,0
Armuchee,GA,0
Arnaudville,LA,0
Arnegard,ND,460
Arnett,OK,1300
Arnett,WV,0
Arnold,CA,260
Arnold,KS,None
Arnold,MD,2136
Arnold,MI,1.9
Arnold,MO,1796.9
Arnold,NE,891
Arnolds Park,IA,717.2
Arnoldsburg,WV,0
Arnoldsville,GA,183.5
Arnot,PA,0
Aroda,VA,0
Aroma Park,IL,0
Aromas,CA,560
Arona,PA,762
Arp,TX,367.6
Arpin,WI,391.8
Arriba,CO,390
Arrington,TN,0
Arrington,VA,0
Arrow Rock,MO,430.8
Arrowsmith,IL,0
Arroyo Grande,CA,3000
Arroyo Hondo,NM,0
Arroyo Seco,NM,0
Art,TX,None
Artemas,PA,0
Artemus,KY,0
Artesia,CA,10000
Artesia,MS,671.8
Artesia,NM,1140
Artesia Wells,TX,0
Artesian,SD,250.9
Arthur,CA,0
Arthur City,TX,0
Arthur,IA,1373.3
Arthur,IL,0
Arthur,ND,221.7
Arthur,NE,377.4
Arthur,OH,0
Arthurdale,WV,None
Artie,WV,0
Artois,CA,0
Arvada,CO,3000
Arvada,WY,25
Arverne,NY,0
Arvilla,ND,0
Arvin,CA,None
Arvonia,VA,None
Ary,KY,0
Asbury,MO,559.5
Asbury,NJ,393.3
Asbury Park,NJ,11319.5
Asbury,WV,0
Ash Flat,AR,180
Ash Fork,AZ,199.1
Ash Grove,MO,1206.6
Ash,NC,0
Ashaway,RI,645.6
Ashburn,GA,978.6
Ashburn,MO,400
Ashburn,VA,2500
Ashburnham,MA,157.1
Ashby,MA,130
Ashby,MN,810.9
Ashby,NE,0
Ashcamp,KY,None
Ashdown,AR,665.2
Asheboro,NC,1412.5
Asher,KY,0
Asher,OK,491.25
Asherton,TX,1328
Asheville,NC,1856
Ashfield,MA,43
Ashfield,PA,0
Ashford,AL,303.8
Ashford,CT,114
Ashford,WA,106.7
Ashford,WV,0
Ashippun,WI,64.8
Ashkum,IL,882.9
Ashland,AL,272.9
Ashland City,TN,450
Ashland,IL,0
Ashland,KS,520
Ashland,KY,2000
Ashland,LA,0
Ashland,MA,1274.8
Ashland,ME,16.2
Ashland,MO,773.9
Ashland,MS,312
Ashland,MT,61.4
Ashland,NE,2230
Ashland,NH,180
Ashland,NY,0
Ashland,OH,1822.9
Ashland,OR,3046.7
Ashland,PA,1699
Ashland,VA,None
Ashland,WI,612.2
Ashley Falls,MA,0
Ashley,IL,0
Ashley,IN,543.1
Ashley,MI,879.7
Ashley,ND,1200
Ashley,OH,2015.2
Ashmore,IL,0
Ashtabula,OH,2470.8
Ashton,IA,453.5
Ashton,ID,1707.6
Ashton,IL,0
Ashton,MD,0
Ashton,NE,328.8
Ashton,SD,277.3
Ashton,WV,0
Ashuelot,NH,None
Ashville,AL,116.5
Ashville,NY,0
Ashville,OH,1632.3
Ashville,PA,1278
Ashwood,OR,0
Askov,MN,288.9
Asotin,WA,1191.4
Aspen,CO,0
Aspermont,TX,493.2
Aspers,PA,None
Assaria,KS,2200
Assawoman,VA,None
Assonet,MA,None
Assumption,IL,0
Astatula,FL,590
Aston,PA,0
Astor,FL,594.8
Astoria,IL,0
Astoria,NY,None
Astoria,OR,1538.5
Astoria,SD,868.8
Atalissa,IA,2221.4
Atascadero,CA,1100
Atascosa,TX,0
Atchison,KS,1300
Atco,NJ,None
Atglen,PA,0
Athelstane,WI,5.7
Athena,OR,1975.4
Athens,AL,610
Athens,GA,851.5
Athens,IL,0
Athens,LA,0
Athens,ME,23.4
Athens,MI,1013.9
Athens,NY,0
Athens,OH,2424.4
Athens,PA,1874
Athens,TN,976.3
Athens,TX,772.8
Athens,WI,449.2
Athens,WV,2687.2
Atherton,CA,1400
Athol,ID,875.9
Athol,KS,240
Athol,MA,350
Athol,NY,0
Atka,AK,None
Atkins,AR,471.8
Atkins,IA,1532.1
Atkins,VA,210.6
Atkinson,IL,0
Atkinson,NC,238.5
Atkinson,NE,763.8
Atkinson,NH,600
Atlanta,GA,3360
Atlanta,ID,None
Atlanta,IL,0
Atlanta,IN,2416.7
Atlanta,KS,390
Atlanta,LA,0
Atlanta,MI,278.9
Atlanta,MO,1132.4
Atlanta,NE,569.6
Atlanta,NY,0
Atlanta,TX,450
Atlantic Beach,FL,3622
Atlantic Beach,NC,643
Atlantic Beach,NY,0
Atlantic City,NJ,3680.8
Atlantic Highlands,NJ,3401.2
Atlantic,IA,854.8
Atlantic Mine,MI,58.1
Atlantic,NC,592
Atlantic,PA,521
Atlantic,VA,0
Atlas,MI,205.2
Atlasburg,PA,0
Atmore,AL,466
Atoka,OK,372
Atoka,TN,485
Atomic City,ID,263.6
Atqasuk,AK,5.5
Attalla,AL,866
Attapulgus,GA,615
Attica,IN,2028.1
Attica,KS,980
Attica,MI,130.8
Attica,NY,210
Attica,OH,1362.1
Attleboro Falls,MA,0
Attleboro,MA,628.1
Atwater,CA,4600
Atwater,IL,0
Atwater,MN,1100
Atwater,OH,106.7
Atwood,CO,55.7
Atwood,IL,0
Atwood,IN,0
Atwood,KS,1100
Atwood,OK,190
Atwood,TN,490
Au Gres,MI,398.7
Au Sable Forks,NY,0
Au Train,MI,8
Auberry,CA,120
Aubrey,AR,736.7
Aubrey,TX,990
Auburn,AL,954.8
Auburn,CA,1900
Auburn,GA,1068
Auburn Hills,MI,1289.9
Auburn,IA,644
Auburn,IL,0
Auburn,IN,1793.1
Auburn,KS,1900
Auburn,KY,821.8
Auburn,MA,1051.2
Auburn,ME,388.6
Auburn,MI,1987.6
Auburn,NE,1587.2
Auburn,NH,75.9
Auburn,NY,3321
Auburn,PA,505.4
Auburn,WA,2369.3
Auburn,WV,285.3
Auburn,WY,160
Auburndale,FL,1186.2
Auburndale,MA,None
Auburndale,WI,330
Auburntown,TN,445.8
Audubon,IA,1157.4
Audubon,MN,926.8
Audubon,NJ,5925.7
Augusta,AR,1099.5
Augusta,GA,654.2
Augusta,IL,0
Augusta,KS,2000
Augusta,KY,880
Augusta,ME,347.1
Augusta,MI,876.2
Augusta,MO,275
Augusta,MT,509.1
Augusta,NJ,None
Augusta,OH,0
Augusta,WI,707.8
Augusta,WV,None
Aulander,NC,606
Ault,CO,2200
Aultman,PA,0
Aumsville,OR,3513.7
Aurelia,IA,996.2
Aurora,CO,2282
Aurora,IA,324.6
Aurora,IL,0
Aurora,IN,1358.7
Aurora,KS,600
Aurora,ME,3
Aurora,MN,449.7
Aurora,MO,1261.8
Aurora,NC,560
Aurora,NE,1544.5
Aurora,NY,0
Aurora,OH,678.4
Aurora,OR,1912.5
Aurora,SD,1156.5
Aurora,UT,936.1
Austell,GA,1103
Austerlitz,NY,34
Austin,AR,201.7
Austin,CO,None
Austin,IN,1664.7
Austin,KY,0
Austin,MN,2096.5
Austin,NV,170
Austin,PA,156.5
Austin,TX,3358.32
Austinburg,OH,0
Austinville,VA,None
Austwell,TX,527.5
Autaugaville,AL,44.1
Autryville,NC,373.1
Auxier,KY,None
Auxvasse,MO,1293.4
Ava,IL,0
Ava,MO,907
Ava,NY,18
Ava,OH,0
Avalon,CA,1300
Avalon,NJ,321.3
Avalon,TX,None
Avalon,WI,0
Avant,OK,800
Avawam,KY,0
Avella,PA,None
Avenal,CA,680
Avenel,NJ,4836.8
Avenue,MD,0
Avera,GA,310
Averill Park,NY,550
Averill,VT,0.8
Avery,CA,140
Avery,ID,0
Avery,TX,487.9
Avila Beach,CA,270
Avilla,IN,1622.3
Avilla,MO,625
Avinger,TX,228
Avis,PA,2999
Aviston,IL,0
Avoca,AR,268
Avoca,IA,707
Avoca,IN,0
Avoca,MI,67.6
Avoca,MN,151.5
Avoca,NE,1861.5
Avoca,NY,62
Avoca,TX,0
Avoca,WI,275.8
Avon,CO,810
Avon,CT,745
Avon,IL,0
Avon,IN,874
Avon Lake,OH,2028.8
Avon,MA,990
Avon,MN,943.2
Avon,MS,0
Avon,MT,9.3
Avon,NC,329
Avon,NY,170
Avon,OH,1018.4
Avon,PA,1800
Avon Park,FL,1841.8
Avon,SD,921.9
Avondale,AZ,1735.17
Avondale,CO,198.4
Avondale Estates,GA,2700
Avondale,PA,0
Avonmore,PA,547.9
Awendaw,SC,137
Axis,AL,190
Axson,GA,0
Axtell,KS,800
Axtell,NE,1650
Axtell,TX,0
Axton,VA,None
Ayden,NC,2100
Aydlett,NC,0
